id,country,year,gdp_usd,gdp_ppp,gdp_per_capita_usd,gdp_growth_pct,imports_pct_gdp,exports_pct_gdp,total_reserves_usd,unemployment_pct,inflation_pct,remittances_pct_gdp,population,pop_growth_pct,life_expectancy_years,poverty_pct
33,China,1991,383373318083.624,1258454144971.54,333.142145400184,9.26278608406234,10.6299635498463,13.4363711704179,48165019103.1198,2.36999988555908,3.55668565220449,0.101681567707581,1150780000.0,1.36443400840349,69.242,
34,China,1992,426915712715.856,1470221827379.2,366.460692306116,14.2245295931824,12.5420329276575,13.5555444642731,24852636915.1072,2.36999988555908,6.3539813402487,0.145082502599815,1164970000.0,1.2255362283362,69.355,
35,China,1993,444731282435.515,1714031071645.16,377.3898394789,13.8837293021031,13.9025469048608,11.9978832868444,27348104116.5518,2.69000005722046,14.6100786356603,0.141968875349251,1178440000.0,1.14961943083465,69.496,56.7
36,China,1994,564324670008.238,1978859523240.62,473.492278719989,13.0368066319673,17.2330664178356,18.5367485694403,57781337884.3961,2.90000009536743,24.2569897243361,0.151862933794386,1191835000.0,1.13026063215591,69.67,
37,China,1995,734547898224.101,2241662924342.53,609.656679205465,10.9539543428699,16.3244462367672,17.9525228280891,80288427869.5104,3.0,16.7912251650917,0.0476483563353985,1204855000.0,1.08650915088974,69.885,
38,China,1996,863746717507.397,2509209954966.27,709.413755088002,9.92255675231162,15.8914499150533,17.9232955527011,111728900039.4,3.11999988555908,8.31316028893904,0.193575265307527,1217550000.0,1.04814151412165,70.14,41.7
39,China,1997,961603952954.233,2788246475636.25,781.744164343014,9.23677989162672,15.0398528990386,19.4931644597645,146448007873.157,3.23000001907349,2.78646505531886,0.477223495795926,1230075000.0,1.02345002419879,70.428,
40,China,1998,1029043097558.91,3040855853521.21,828.580479299572,7.84595178761953,14.0822045924629,18.3421000329185,152842955596.126,3.24000000953674,-0.773186011549305,0.0334291149531087,1241935000.0,0.959550406298151,70.737,
41,China,1999,1093997267277.1,3319971595766.32,873.287061730612,7.66165150053656,15.3616850043295,18.1624767574199,161414049491.999,3.25,-1.40147268276465,0.0484461904844737,1252735000.0,0.865851392993279,71.063,40.3
42,China,2000,1211346869600.41,3683441693969.14,959.372483635864,8.49009340575191,18.5173176506578,20.893697201735,171763098225.843,3.25999999046326,0.347811226864599,0.0625817442571237,1262645000.0,0.787956592953992,71.397,
43,China,2001,1339395718862.89,4080387270262.51,1053.10824300262,8.3357334781433,18.2152135310323,20.3121457444929,220056777617.14,3.79999995231628,0.719125609120107,0.0902645859601829,1271850000.0,0.726380637838525,71.732,
44,China,2002,1470550015077.93,4522477346527.11,1148.50829043887,9.13363078993316,20.1026579601554,22.6447456738957,297739475705.212,4.23999977111816,-0.731970902350276,0.160012947363066,1280400000.0,0.669999567758626,72.061,31.7
45,China,2003,1660287965663.89,5074660085618.61,1288.64325183475,10.038030481108,24.8232314660127,26.9807565345137,416199411548.593,4.57999992370605,1.12760348729636,0.27858611913449,1288400000.0,0.622860936133583,72.381,
46,China,2004,1955347004965.69,5737893814909.69,1508.66809788453,10.1136213780461,28.4441866419381,31.0613375828803,622948544349.601,4.48999977111816,3.82463743108159,0.339644071455744,1296075000.0,0.593932815112141,72.689,
47,China,2005,2285965892364.2,6592135966884.01,1753.41782926104,11.3945918097286,28.3780352997871,33.8298575659931,831409619695.566,4.51999998092651,1.77641407667574,0.145980385816034,1303720000.0,0.588124989556992,72.985,18.5
48,China,2006,2752131773358.92,7659999647309.11,2099.22943460734,12.7209556651735,28.4438583516643,36.0350255523532,1080755682869.9,4.42999982833862,1.64943099455862,0.156950791768286,1311020000.0,0.558374367373002,73.271,
49,China,2007,3550342737009.53,8986556877182.31,2693.97006340427,14.2308609330803,26.7585649477618,35.4347985287157,1546364660543.37,4.34999990463257,4.81676767378831,0.192463945266883,1317885000.0,0.522271866392275,73.553,
50,China,2008,4594307032667.98,10042810302711.2,3468.30460207977,9.65067891955702,25.0100013259338,32.6027140173081,1966037431070.11,4.59000015258789,5.92525137041095,0.198866702526882,1324655000.0,0.51238693163744,73.835,14.9
51,China,2009,5101703073088.97,11057126304048.5,3832.23643246922,9.39872563237978,20.435014439653,24.7498559389238,2452899062067.79,4.71999979019165,-0.728165250932952,0.18051795036013,1331260000.0,0.497381400884935,74.119,
52,China,2010,6087163874510.73,12380164949406.0,4550.45310775599,10.6358710646812,23.5317449422952,27.1853327204051,2913711711315.37,4.53000020980835,3.17532475269199,0.224013041592313,1337705000.0,0.482959688678361,74.409,11.2
53,China,2011,7551500124197.17,13844365195917.5,5614.35213522114,9.55083217886229,24.1727152412604,26.5681893451605,3254674063563.49,4.55000019073486,5.55389892257492,0.219405034503147,1345035000.0,0.546457594880274,74.708,7.9
54,China,2012,8532229986993.65,15124538193948.2,6300.61511825789,7.86373644866194,22.7750001428637,25.4925222245396,3387512973773.81,4.57000017166138,2.61952432645544,0.200013634337266,1354190000.0,0.678345458846803,75.013,6.5
55,China,2013,9570406235659.64,16185063329894.8,7020.33848453658,7.766150097539,22.1451211404583,24.599254436897,3880368265252.93,4.59000015258789,2.62105001748115,0.185886625718285,1363240000.0,0.666072977690069,75.321,1.9
56,China,2014,10475682920597.7,17121277216284.5,7636.11660125502,7.42576365645755,21.3951550469261,23.5100609074235,3900039302991.09,4.6100001335144,1.92164162788521,0.285523157008015,1371860000.0,0.630326389541893,75.629,1.4
57,China,2015,11061553079871.5,17796747505545.6,8016.43143498003,7.04132887865481,18.110089452417,21.3540798828848,3405253363888.14,4.63000011444092,1.43702380935655,0.299276924522559,1379860000.0,0.581456146657648,75.928,0.7
58,China,2016,11233276536744.7,18712096136720.3,8094.36336675194,6.84876220503246,17.3100349634307,19.5843800536482,3097658421378.4,4.53000020980835,2.00000182191941,0.239318232804679,1387790000.0,0.573050906069647,76.21,0.5
59,China,2017,12310409370894.2,19887033884256.7,8816.98690451989,6.94720079327288,17.9401362522062,19.6922769882201,3235681607213.04,4.44000005722046,1.59313600071434,0.232940938260747,1396215000.0,0.605245013482969,76.47,0.4
60,China,2018,13894817549380.3,21736535504587.0,9905.34200389253,6.74977383247717,18.4536805657234,19.1121035364139,3168216331199.09,4.28000020980835,2.07479039965578,0.174925688115236,1402760000.0,0.467672053461959,76.704,0.3
61,China,2019,14279937500608.0,23441908826406.9,10143.8381955595,5.95050075376979,17.4801037187624,18.4099923154801,3222894578036.36,4.51999998092651,2.89923416358227,0.12811199701309,1407745000.0,0.354740890170827,76.912,0.1
62,China,2020,14687673892882.0,24255795539863.4,10408.6697561349,2.2397018568489,16.048189509327,18.541060011129,3357240875433.72,5.0,2.4194218945778,0.128517632593667,1411100000.0,0.238040870229883,77.097,
